Season,Team,Player,Nationality,Role,Age,Presences,Gol,Assist,Penalty Goal,Penalty Attempt,Expected Goals,Expected Assists,Progressive Carries,Progressive Passes,Progressive Receptions,Goals per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists per 90 minutes
2223,Atalanta,Ademola Lookman,NGA,Attaccante,24,31,13,6,10,3,9.1,6.6,73,79,185,0.68,0.31,0.47,0.34
2223,Atalanta,Berat Djimsiti,ALB,Difensore,29,24,0,1,0,0,0.6,0.2,7,45,9,0.0,0.05,0.03,0.01
2223,Atalanta,Brandon Soppy,FRA,Difensore,20,15,0,3,0,0,0.3,1.6,23,33,35,0.0,0.42,0.05,0.23
2223,Atalanta,Caleb Okoli,ITA,Difensore,21,17,0,0,0,0,0.5,0.0,4,19,12,0.0,0.0,0.04,0.0
2223,Atalanta,Davide Zappacosta,ITA,Difensore,30,21,4,2,4,0,1.5,1.6,48,55,101,0.24,0.12,0.09,0.1
2223,Atalanta,Duván Zapata,COL,Attaccante,31,25,2,2,2,0,3.9,1.1,35,40,140,0.13,0.13,0.25,0.07
2223,Atalanta,Francesco Rossi,ITA,Portiere,31,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2223,Atalanta,Giorgio Scalvini,ITA,Difensore,18,32,2,2,2,0,2.0,0.4,22,158,34,0.08,0.08,0.08,0.01
2223,Atalanta,Hans Hateboer,NED,Difensore,28,17,1,1,1,0,1.3,1.5,16,55,73,0.06,0.06,0.09,0.1
2223,Atalanta,Jeremie Boga,CIV,,25,23,2,5,2,0,1.9,2.8,64,53,78,0.23,0.58,0.22,0.33
2223,Atalanta,Joakim Mæhle,DEN,,25,34,3,3,3,0,3.0,2.9,81,137,186,0.12,0.12,0.12,0.12
2223,Atalanta,José Luis Palomino,ARG,Difensore,32,15,1,0,1,0,0.5,0.3,3,29,3,0.12,0.0,0.06,0.03
2223,Atalanta,Juan Musso,ARG,Portiere,28,24,0,0,0,0,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0
2223,Atalanta,Luis Muriel,COL,Attaccante,31,29,3,3,2,1,2.8,3.5,53,71,124,0.25,0.25,0.24,0.3
2223,Atalanta,Lukáš Vorlický,CZE,,20,3,0,0,0,0,0.0,0.0,2,3,3,0.0,0.0,0.18,0.0
2223,Atalanta,Marco Sportiello,ITA,Portiere,30,15,0,0,0,0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0
2223,Atalanta,Mario Pašalić,CRO,,27,32,5,2,5,0,5.7,2.2,24,82,83,0.25,0.1,0.29,0.11
2223,Atalanta,Marten de Roon,NED,Centrocampista,31,35,3,1,3,0,1.1,1.8,18,171,23,0.09,0.03,0.03,0.06
2223,Atalanta,Matteo Ruggeri,ITA,,20,15,0,1,0,0,0.6,0.9,22,55,65,0.0,0.11,0.06,0.1
